,trackName,month,day,year,raceNum,distance,surface,weather,conditions,startTime,startNote,segment1,segment2,segment3,segment4,segment5,segments,lastRaceDay,lastRaceMonth,lastRaceYear,lastRaceTrack,lastRaceNum,lastRacePlace,program,horse,jockey,weight,m_e,placePP,placeSeg1,lengthsSeg1,placeSeg2,lengthsSeg2,placeSeg3,lengthsSeg3,placeSeg4,lengthsSeg4,placeSeg5,lengthsSeg5,placeSeg6,lengthsSeg6,odds,comments,fracTime1,fracTime2,fracTime3,fracTime4,fracTime5,finalTime,runUp,wpsPool,firstPlaceWin,firstPlacePlace,firstPlaceShow,secondPlacePlace,secondPlaceShow,thirdPlaceShow,exactaBuyin,exactaFinish,exactaPayout,exactaPool,trifectaBuyin,trifectaFinish,trifectaPayout,trifectaPool,superfectaBuyin,superfectaFinish,superfectaPayout,superfectaPool,rlPlaceSeg1,rlLengthsSeg1,rlPlaceSeg2,rlLengthsSeg2,rlPlaceSeg3,rlLengthsSeg3,rlPlaceSeg4,rlLengthsSeg4,rlPlaceSeg5,rlLengthsSeg5,rlPlaceFin,rlLengthsFin,rlLengthsSeg6,rlPlaceSeg6,trainer,owner,daily doubleBuyin,daily doubleFinish,daily doublePayout,daily doublePool
0,SA,1,4,2019,1,About Six And One Half Furlongs,Downhill turf,Clear,Firm,12:32,Good for all except 1,Start,1/4,1/2,Str,,4,30,Aug,18,DMR,7,7,4,What'sontheagenda,"Pereira, Tiago",124,L b2,4,1,11/2,1,5,1,31/2,1,Head,1,,,,5.00,"speed,inside,held",21.32,42.82,1:06.20,,,1:12.69,131,"154,263",12.00,6.00,4.00,10.40,5.40,3.20,$1.00,4-8,75.50,"98,816",$0.50,4-8-9,89.80,"65,192",$0.10,4-8-9-2,107.85,"45,879",1,,1,11/2,1,5,1,31/2,1,Head,,,,,"O'Neill, Doug","Beerman Family Trust, Hall, Greg and Sayjay Racing LLC",,,,
1,SA,1,4,2019,1,About Six And One Half Furlongs,Downhill turf,Clear,Firm,12:32,Good for all except 1,Start,1/4,1/2,Str,,4,30,Jun,18,LS,2,1,8,Chosen Vessel,"Maldonado, Edwin",124,L 7,3,5,11/2,6,7,4,2,2,3,,,,,14.80,"came out str,rallied",21.32,42.82,1:06.20,,,1:12.69,131,"154,263",12.00,6.00,4.00,10.40,5.40,3.20,$1.00,4-8,75.50,"98,816",$0.50,4-8-9,89.80,"65,192",$0.10,4-8-9-2,107.85,"45,879",3,,5,61/2,6,81/4,4,51/2,2,Head,,,,,"Dollase, Craig",Masino Racing Stable,,,,
2,SA,1,4,2019,1,About Six And One Half Furlongs,Downhill turf,Clear,Firm,12:32,Good for all except 1,Start,1/4,1/2,Str,,4,21,Oct,18,SA,6,4,9,Exultation,"Franco, Geovanni",124,L b 8,2,3,11/2,3,Head,3,11/2,3,Neck,,,,,2.00,"stalked inside,held 3d",21.32,42.82,1:06.20,,,1:12.69,131,"154,263",12.00,6.00,4.00,10.40,5.40,3.20,$1.00,4-8,75.50,"98,816",$0.50,4-8-9,89.80,"65,192",$0.10,4-8-9-2,107.85,"45,879",2,,3,4,3,5,3,4,3,3,,,,,"Eurton, Peter",C R K Stable LLC,,,,
3,SA,1,4,2019,1,About Six And One Half Furlongs,Downhill turf,Clear,Firm,12:32,Good for all except 1,Start,1/4,1/2,Str,,4,18,Nov,18,DMR,5,8,2,Hollywood Square,"Gutierrez, Mario",124,L 2,6,4,1,4,3,2,1/2,4,3/4,,,,,5.00,"3wd into str,edged 3rd",21.32,42.82,1:06.20,,,1:12.69,131,"154,263",12.00,6.00,4.00,10.40,5.40,3.20,$1.00,4-8,75.50,"98,816",$0.50,4-8-9,89.80,"65,192",$0.10,4-8-9-2,107.85,"45,879",6,,4,51/2,4,51/4,2,31/2,4,31/4,,,,,"O'Neill, Doug",Reddam Racing LLC,,,,
4,SA,1,4,2019,1,About Six And One Half Furlongs,Downhill turf,Clear,Firm,12:32,Good for all except 1,Start,1/4,1/2,Str,,4,24,Nov,18,DMR,6,8,7,Bellerin,"Van Dyke, Drayden",124,L 6,5,6,3,5,Head,5,Head,5,4,,,,,3.00,"came out str,no rally",21.32,42.82,1:06.20,,,1:12.69,131,"154,263",12.00,6.00,4.00,10.40,5.40,3.20,$1.00,4-8,75.50,"98,816",$0.50,4-8-9,89.80,"65,192",$0.10,4-8-9-2,107.85,"45,879",5,,6,8,5,81/4,5,71/2,5,4,,,,,"Gaines, Carla",Keith Brackpool,,,,
5,SA,1,4,2019,1,About Six And One Half Furlongs,Downhill turf,Clear,Firm,12:32,Good for all except 1,Start,1/4,1/2,Str,,4,2,Nov,18,GG,9,11,5,Conquest Superstar,"Quinonez, Alonso",124,L b 5,4,2,21/2,2,Head,6,6,6,1,,,,,44.70,"btwn into str,wkened",21.32,42.82,1:06.20,,,1:12.69,131,"154,263",12.00,6.00,4.00,10.40,5.40,3.20,$1.00,4-8,75.50,"98,816",$0.50,4-8-9,89.80,"65,192",$0.10,4-8-9-2,107.85,"45,879",4,,2,11/2,2,5,6,71/2,6,8,,,,,"Mandella, Gary","Double JH Stable, Inc., Roman, Jennifer Gayle and Roman, Paige Lauren",,,,
6,SA,1,4,2019,1,About Six And One Half Furlongs,Downhill turf,Clear,Firm,12:32,Good for all except 1,Start,1/4,1/2,Str,,4,26,Dec,18,SA,10,12,3,Taki's Choice,"Figueroa, Heriberto",119,L b 3,7,7,5,7,2,7,4,7,7,,,,,4.50,"off bit slow,no rally",21.32,42.82,1:06.20,,,1:12.69,131,"154,263",12.00,6.00,4.00,10.40,5.40,3.20,$1.00,4-8,75.50,"98,816",$0.50,4-8-9,89.80,"65,192",$0.10,4-8-9-2,107.85,"45,879",7,,7,11,7,151/4,7,131/2,7,9,,,,,"D'Amato, Philip",Anthony J. Chacon,,,,
7,SA,1,4,2019,1,About Six And One Half Furlongs,Downhill turf,Clear,Firm,12:32,Good for all except 1,Start,1/4,1/2,Str,,4,24,Nov,18,LA,2,1,1,Anziyan Cat,"Vergara, Jr., Octavio",124,L bf 1,8,8,,8,,8,,8,,,,,,83.20,"broke in,slowly",21.32,42.82,1:06.20,,,1:12.69,131,"154,263",12.00,6.00,4.00,10.40,5.40,3.20,$1.00,4-8,75.50,"98,816",$0.50,4-8-9,89.80,"65,192",$0.10,4-8-9-2,107.85,"45,879",8,,8,16,8,171/4,8,171/2,8,16,,,,,"Sierra, Javier","Sierra Stables, Inc. and Ayala, Maria",,,,
0,SA,1,4,2019,2,One Mile,Dirt,Clear,Fast,1:04,Good for all,Start,1/4,1/2,3/4,Str,5,13,Dec,18,LRC,3,1,1,Smart Rachel,"Flores, Eswan",122,L b 1,1,1,1,1,1/2,1,2,1,21/2,1,31/2,,,2.70,"inside,met bid,cleared",25.07,49.17,1:14.36,1:27.78,,1:41.92,172,"152,250",7.40,3.20,3.60,3.20,3.00,4.60,$1.00,1-2,10.10,"70,392",$0.50,1-2-5,24.55,"44,190",$0.10,1-2-5-4,10.21,"24,303",1,,1,1,1,1/2,1,2,1,21/2,,,31/2,1,"Palma, Hector",BG Stables,$2.00,4-1,45.80,"34,245"
1,SA,1,4,2019,2,One Mile,Dirt,Clear,Fast,1:04,Good for all,Start,1/4,1/2,3/4,Str,5,14,Dec,18,LRC,1,3,2,Miz Tianjin,"Maldonado, Edwin",122,L b 2,5,3,Head,4,1/2,2,Head,2,1,2,Nose,,,2.60,"stalked rail,held 2nd",25.07,49.17,1:14.36,1:27.78,,1:41.92,172,"152,250",7.40,3.20,3.60,3.20,3.00,4.60,$1.00,1-2,10.10,"70,392",$0.50,1-2-5,24.55,"44,190",$0.10,1-2-5-4,10.21,"24,303",5,,3,2,4,11/2,2,2,2,21/2,,,31/2,2,"Pender, Michael","Pender Racing LLC and Medina, David",$2.00,4-1,45.80,"34,245"
2,SA,1,4,2019,2,One Mile,Dirt,Clear,Fast,1:04,Good for all,Start,1/4,1/2,3/4,Str,5,15,Dec,18,LRC,8,4,5,Blooming Hannah,"Fuentes, Luis",115,L bf 5,2,2,1,2,1,3,11/2,3,2,3,23/4,,,27.60,"stalked,bid,edged 2nd",25.07,49.17,1:14.36,1:27.78,,1:41.92,172,"152,250",7.40,3.20,3.60,3.20,3.00,4.60,$1.00,1-2,10.10,"70,392",$0.50,1-2-5,24.55,"44,190",$0.10,1-2-5-4,10.21,"24,303",2,,2,1,2,1/2,3,2,3,31/2,,,31/2,3,"Bean, Robert","Bean, Robert and Luanne",$2.00,4-1,45.80,"34,245"
3,SA,1,4,2019,2,One Mile,Dirt,Clear,Fast,1:04,Good for all,Start,1/4,1/2,3/4,Str,5,16,Sep,18,LRC,7,8,4,Majestic Design,"Espinoza, Assael",119,L b 4,4,4,1,3,Head,5,,4,1,4,8,,,1.20,"3wd 1st turn,wkened",25.07,49.17,1:14.36,1:27.78,,1:41.92,172,"152,250",7.40,3.20,3.60,3.20,3.00,4.60,$1.00,1-2,10.10,"70,392",$0.50,1-2-5,24.55,"44,190",$0.10,1-2-5-4,10.21,"24,303",4,,4,2,3,11/2,5,33/4,4,51/2,,,61/4,4,"Baltas, Richard",Calvin Nguyen,$2.00,4-1,45.80,"34,245"
4,SA,1,4,2019,2,One Mile,Dirt,Clear,Fast,1:04,Good for all,Start,1/4,1/2,3/4,Str,5,15,Dec,18,LRC,8,3,3,Kennedie Sky,"Figueroa, Heriberto",117,L 3,3,5,,5,,4,Head,5,,5,,,,5.40,"3wd 2nd turn,wkened",25.07,49.17,1:14.36,1:27.78,,1:41.92,172,"152,250",7.40,3.20,3.60,3.20,3.00,4.60,$1.00,1-2,10.10,"70,392",$0.50,1-2-5,24.55,"44,190",$0.10,1-2-5-4,10.21,"24,303",3,,5,3,5,2,4,31/2,5,61/2,,,141/4,5,"DeLeon, Rafael",Jaime Roberto Renella,$2.00,4-1,45.80,"34,245"
0,SA,1,4,2019,3,Six Furlongs,Dirt,Clear,Fast,1:34,Good for all,Start,1/4,1/2,Str,,4,30,Nov,18,DMR,3,3,2,Seahawk Wave,"Espinoza, Assael",119,L b 2,2,1,1,2,21/2,1,1/2,1,11/4,,,,,8.50,"inside,led again,clear",22.05,45.51,58.44,,,1:12.66,85,"170,613",19.00,7.80,5.00,5.60,4.00,4.80,$1.00,2-3,37.20,"92,033",$0.50,2-3-5,98.85,"61,236",$0.10,2-3-5-6,95.18,"34,669",2,,1,1,2,Head,1,1/2,1,11/4,,,,,"Ellis, Ronald",Hotter Than H Racing LLC,$2.00,1-2,54.00,"18,221"
1,SA,1,4,2019,3,Six Furlongs,Dirt,Clear,Fast,1:34,Good for all,Start,1/4,1/2,Str,,4,12,Nov,18,DMR,5,8,3,Stonegate,"Cruz, Angel",124,L 3,6,5,Head,5,Head,4,11/2,2,1/2,,,,,5.00,"off bit slow,3wd lane",22.05,45.51,58.44,,,1:12.66,85,"170,613",19.00,7.80,5.00,5.60,4.00,4.80,$1.00,2-3,37.20,"92,033",$0.50,2-3-5,98.85,"61,236",$0.10,2-3-5-6,95.18,"34,669",6,,5,21/4,5,4,4,5,2,11/4,,,,,"Sadler, John",Hronis Racing LLC,$2.00,1-2,54.00,"18,221"
2,SA,1,4,2019,3,Six Furlongs,Dirt,Clear,Fast,1:34,Good for all,Start,1/4,1/2,Str,,4,23,Nov,18,DMR,4,6,5,Molaf,"Franco, Geovanni",124,L b 5,4,6,1,7,,6,Head,3,Neck,,,,,7.70,"split foes,up 3rd rail",22.05,45.51,58.44,,,1:12.66,85,"170,613",19.00,7.80,5.00,5.60,4.00,4.80,$1.00,2-3,37.20,"92,033",$0.50,2-3-5,98.85,"61,236",$0.10,2-3-5-6,95.18,"34,669",4,,6,21/4,7,53/4,6,61/2,3,13/4,,,,,"Morey, William","Morey, William E. and Rainin, Frances",$2.00,1-2,54.00,"18,221"
3,SA,1,4,2019,3,Six Furlongs,Dirt,Clear,Fast,1:34,Good for all,Start,1/4,1/2,Str,,4,18,Nov,18,DMR,1,4,6,Normandy Beach,"Baze, Tyler",124,L b 6,1,3,1,3,1/2,3,2,4,11/2,,,,,10.50,"3wd into str,edged 3rd",22.05,45.51,58.44,,,1:12.66,85,"170,613",19.00,7.80,5.00,5.60,4.00,4.80,$1.00,2-3,37.20,"92,033",$0.50,2-3-5,98.85,"61,236",$0.10,2-3-5-6,95.18,"34,669",1,,3,1,3,21/2,3,3,4,2,,,,,"Mullins, Jeff",Red Baron's Barn LLC and Rancho Temescal LLC,$2.00,1-2,54.00,"18,221"
4,SA,1,4,2019,3,Six Furlongs,Dirt,Clear,Fast,1:34,Good for all,Start,1/4,1/2,Str,,4,21,Oct,18,SA,9,7,7,Paladar,"Van Dyke, Drayden",124,L 7,3,2,Head,1,Head,2,21/2,5,1,,,,,3.10,"bid,led,wkened late",22.05,45.51,58.44,,,1:12.66,85,"170,613",19.00,7.80,5.00,5.60,4.00,4.80,$1.00,2-3,37.20,"92,033",$0.50,2-3-5,98.85,"61,236",$0.10,2-3-5-6,95.18,"34,669",3,,2,1,1,Head,2,1/2,5,31/2,,,,,"Gaines, Carla",Keith Brackpool,$2.00,1-2,54.00,"18,221"
5,SA,1,4,2019,3,Six Furlongs,Dirt,Clear,Fast,1:34,Good for all,Start,1/4,1/2,Str,,4,17,Nov,18,DMR,2,5,4,Aggressivity,"Talamo, Joseph",124,L b 4,5,7,,6,11/2,7,,6,8,,,,,1.60,"4wd into str,no rally",22.05,45.51,58.44,,,1:12.66,85,"170,613",19.00,7.80,5.00,5.60,4.00,4.80,$1.00,2-3,37.20,"92,033",$0.50,2-3-5,98.85,"61,236",$0.10,2-3-5-6,95.18,"34,669",5,,7,31/4,6,41/4,7,63/4,6,41/2,,,,,"Ellis, Ronald","Finder, Gary and Maciariello, Pat",$2.00,1-2,54.00,"18,221"
6,SA,1,4,2019,3,Six Furlongs,Dirt,Clear,Fast,1:34,Good for all,Start,1/4,1/2,Str,,4,10,Nov,18,DMR,1,5,1,Shanghai Billy,"Rosario, Joel",124,L bf 1,7,4,Head,4,1,5,Head,7,,,,,,9.40,"off step slow,inside",22.05,45.51,58.44,,,1:12.66,85,"170,613",19.00,7.80,5.00,5.60,4.00,4.80,$1.00,2-3,37.20,"92,033",$0.50,2-3-5,98.85,"61,236",$0.10,2-3-5-6,95.18,"34,669",7,,4,2,4,3,5,61/2,7,121/2,,,,,"Harrington, Mike","Bridges, Bill D. and O'Connor, Bill",$2.00,1-2,54.00,"18,221"
0,SA,1,4,2019,4,One Mile,Turf,Clear,Firm,2:07,Good for all,Start,1/4,1/2,3/4,Str,5,22,Nov,18,DMR,8,6,6,Drift Away,"Baze, Tyler",122,L b 5,2,2,Head,2,1/2,2,1,2,11/2,1,Neck,,,6.30,"bid,dueled,led late",24.15,48.39,1:12.78,1:24.55,,1:36.38,102,"295,815",14.60,7.40,4.40,6.00,4.20,2.80,$1.00,6-3,53.40,"179,043",$0.50,6-3-2,91.70,"132,604",$0.10,6-3-2-4,71.45,"82,536",2,,2,1,2,1/2,2,Head,2,Head,,,Neck,1,"Lerner, Andrew","Del Mar Summer Racing Club LLC, Hidden Brook Farm and Lerner Racing",$2.00,2-6,206.00,"19,510"
1,SA,1,4,2019,4,One Mile,Turf,Clear,Firm,2:07,Good for all,Start,1/4,1/2,3/4,Str,5,28,Sep,18,SA,9,1,3,Untouched Elegance,"Van Dyke, Drayden",122,L 3,1,1,1,1,1/2,1,Head,1,Head,2,1,,,5.00,fought back rail lane,24.15,48.39,1:12.78,1:24.55,,1:36.38,102,"295,815",14.60,7.40,4.40,6.00,4.20,2.80,$1.00,6-3,53.40,"179,043",$0.50,6-3-2,91.70,"132,604",$0.10,6-3-2-4,71.45,"82,536",1,,1,1,1,1/2,1,Head,1,Head,,,Neck,2,"Baltas, Richard","MRO Thoroughbreds, LLC, Andrews, Denny, Ashcroft, Durwood, Baltas, Richard and Cavalli, John",$2.00,2-6,206.00,"19,510"
2,SA,1,4,2019,4,One Mile,Turf,Clear,Firm,2:07,Good for all,Start,1/4,1/2,3/4,Str,5,2,Dec,18,DMR,5,2,2,Foxtail,"Rosario, Joel",122,L 2,3,3,2,3,1,3,1/2,3,1,3,21/4,,,2.10,"came out str,willingly",24.15,48.39,1:12.78,1:24.55,,1:36.38,102,"295,815",14.60,7.40,4.40,6.00,4.20,2.80,$1.00,6-3,53.40,"179,043",$0.50,6-3-2,91.70,"132,604",$0.10,6-3-2-4,71.45,"82,536",3,,3,1,3,1,3,1,3,11/2,,,11/4,3,"Sadler, John",Hronis Racing LLC,$2.00,2-6,206.00,"19,510"
3,SA,1,4,2019,4,One Mile,Turf,Clear,Firm,2:07,Good for all,Start,1/4,1/2,3/4,Str,5,9,Nov,18,DMR,5,5,4,Trust Fund Kitty,"Quinonez, Alonso",122,L b 4,6,5,11/2,5,1,5,Head,5,1,4,3/4,,,10.90,"squeezed bit strt,rail",24.15,48.39,1:12.78,1:24.55,,1:36.38,102,"295,815",14.60,7.40,4.40,6.00,4.20,2.80,$1.00,6-3,53.40,"179,043",$0.50,6-3-2,91.70,"132,604",$0.10,6-3-2-4,71.45,"82,536",6,,5,31/4,5,21/2,5,3,5,3,,,31/2,4,"Brinkerhoff, Val",Richard Barton,$2.00,2-6,206.00,"19,510"
4,SA,1,4,2019,4,One Mile,Turf,Clear,Firm,2:07,Good for all,Start,1/4,1/2,3/4,Str,5,9,Nov,18,DMR,5,2,8,Take a Leap,"Smith, Mike",122,L b 7,4,4,Head,4,1/2,4,11/2,4,1/2,5,3/4,,,1.70,"came out str,no bid",24.15,48.39,1:12.78,1:24.55,,1:36.38,102,"295,815",14.60,7.40,4.40,6.00,4.20,2.80,$1.00,6-3,53.40,"179,043",$0.50,6-3-2,91.70,"132,604",$0.10,6-3-2-4,71.45,"82,536",4,,4,3,4,2,4,11/2,4,21/2,,,41/4,5,"Mullins, Jeff",Red Baron's Barn LLC and Rancho Temescal LLC,$2.00,2-6,206.00,"19,510"
5,SA,1,4,2019,4,One Mile,Turf,Clear,Firm,2:07,Good for all,Start,1/4,1/2,3/4,Str,5,9,Nov,18,DMR,5,8,1,Chalky (IRE),"Blanc, Brice",122,L b 1,7,7,,7,,7,,7,,6,21/4,,,32.70,"off bit slow,no rally",24.15,48.39,1:12.78,1:24.55,,1:36.38,102,"295,815",14.60,7.40,4.40,6.00,4.20,2.80,$1.00,6-3,53.40,"179,043",$0.50,6-3-2,91.70,"132,604",$0.10,6-3-2-4,71.45,"82,536",7,,7,53/4,7,4,7,43/4,7,51/2,,,5,6,"Nehf, Jay",Peter Nehf,$2.00,2-6,206.00,"19,510"
6,SA,1,4,2019,4,One Mile,Turf,Clear,Firm,2:07,Good for all,Start,1/4,1/2,3/4,Str,5,1,Sep,18,DMR,3,6,7,Sugary,"Prat, Flavien",122,L 6,5,6,1,6,1/2,6,11/2,6,11/2,7,,,,11.80,"bit washy gate,no bid",24.15,48.39,1:12.78,1:24.55,,1:36.38,102,"295,815",14.60,7.40,4.40,6.00,4.20,2.80,$1.00,6-3,53.40,"179,043",$0.50,6-3-2,91.70,"132,604",$0.10,6-3-2-4,71.45,"82,536",5,,6,43/4,6,31/2,6,31/4,6,4,,,71/4,7,"Jones, Martin",Pamela C. Ziebarth,$2.00,2-6,206.00,"19,510"
0,SA,1,4,2019,5,Six And One Half Furlongs,Dirt,Clear,Fast,2:36,Good for all,Start,1/4,1/2,Str,,4,18,Nov,18,DMR,6,4,3,Denman's Call,"Bejarano, Rafael",122,L 3,3,2,1/2,2,1/2,1,Head,1,1/2,,,,,1.60,"bid btwn turn,gamely",22.30,45.62,1:09.67,,,1:16.13,78,"242,699",5.20,3.00,2.80,5.40,3.00,4.00,$1.00,3-1,15.80,"110,180",$0.50,3-1-4,27.00,"72,771",$0.10,3-1-4-2,9.18,"39,151",3,,2,11/2,2,1/2,1,Head,1,1/2,,,,,"O'Neill, Doug","Gilman Racing, W. C. Racing and Westside Racing Stable",$2.00,6-3,55.20,"27,631"
1,SA,1,4,2019,5,Six And One Half Furlongs,Dirt,Clear,Fast,2:36,Good for all,Start,1/4,1/2,Str,,4,29,Nov,18,DMR,3,3,1,Allaboutmike,"Baze, Tyler",122,L 1,2,1,11/2,1,1/2,2,21/2,2,11/2,,,,,7.00,"fought back rail,game",22.30,45.62,1:09.67,,,1:16.13,78,"242,699",5.20,3.00,2.80,5.40,3.00,4.00,$1.00,3-1,15.80,"110,180",$0.50,3-1-4,27.00,"72,771",$0.10,3-1-4-2,9.18,"39,151",2,,1,11/2,1,1/2,2,Head,2,1/2,,,,,"Bell, II, Thomas",Richard A. Bell,$2.00,6-3,55.20,"27,631"
2,SA,1,4,2019,5,Six And One Half Furlongs,Dirt,Clear,Fast,2:36,Good for all,Start,1/4,1/2,Str,,4,18,Nov,18,DMR,6,6,4,Conquest Cobra,"Prat, Flavien",122,L b 4,1,3,1/2,3,1,3,Head,3,1/2,,,,,10.20,"bid 3wd turn,held 3rd",22.30,45.62,1:09.67,,,1:16.13,78,"242,699",5.20,3.00,2.80,5.40,3.00,4.00,$1.00,3-1,15.80,"110,180",$0.50,3-1-4,27.00,"72,771",$0.10,3-1-4-2,9.18,"39,151",1,,3,2,3,1,3,21/2,3,2,,,,,"Cerin, Vladimir",Horseplayer Racing Club,$2.00,6-3,55.20,"27,631"
3,SA,1,4,2019,5,Six And One Half Furlongs,Dirt,Clear,Fast,2:36,Good for all,Start,1/4,1/2,Str,,4,3,Nov,18,SA,4,3,2,Junior Gilliam,"Rosario, Joel",124,L b 2,5,5,,4,1/2,4,3,4,11,,,,,1.10,"bobbled bit start,rail",22.30,45.62,1:09.67,,,1:16.13,78,"242,699",5.20,3.00,2.80,5.40,3.00,4.00,$1.00,3-1,15.80,"110,180",$0.50,3-1-4,27.00,"72,771",$0.10,3-1-4-2,9.18,"39,151",5,,5,41/2,4,2,4,23/4,4,21/2,,,,,"Hollendorfer, Jerry","Hollendorfer, LLC, Team Green LLC and Scannell, Joseph",$2.00,6-3,55.20,"27,631"
4,SA,1,4,2019,5,Six And One Half Furlongs,Dirt,Clear,Fast,2:36,Good for all,Start,1/4,1/2,Str,,4,9,Nov,18,GG,4,8,6,Big League,"Van Dyke, Drayden",122,L bf 5,4,4,2,5,,5,,5,,,,,,7.20,"stalked 3wd,weakened",22.30,45.62,1:09.67,,,1:16.13,78,"242,699",5.20,3.00,2.80,5.40,3.00,4.00,$1.00,3-1,15.80,"110,180",$0.50,3-1-4,27.00,"72,771",$0.10,3-1-4-2,9.18,"39,151",4,,4,21/2,5,21/2,5,53/4,5,131/2,,,,,"Puype, Mike","Stephenson, Sam, Walker, Jim L. and Irminger, Ancil",$2.00,6-3,55.20,"27,631"
