,trackName,month,day,year,raceNum,distance,surface,weather,conditions,startTime,startNote,segment1,segment2,segment3,segment4,segment5,segments,lastRaceDay,lastRaceMonth,lastRaceYear,lastRaceTrack,lastRaceNum,lastRacePlace,program,horse,jockey,weight,m_e,placePP,placeSeg1,lengthsSeg1,placeSeg2,lengthsSeg2,placeSeg3,lengthsSeg3,placeSeg4,lengthsSeg4,placeSeg5,lengthsSeg5,placeSeg6,lengthsSeg6,odds,comments,fracTime1,fracTime2,fracTime3,fracTime4,fracTime5,finalTime,runUp,wpsPool,firstPlaceWin,firstPlacePlace,firstPlaceShow,secondPlacePlace,secondPlaceShow,thirdPlaceShow,exactaBuyin,exactaFinish,exactaPayout,exactaPool,trifectaBuyin,trifectaFinish,trifectaPayout,trifectaPool,superfectaBuyin,superfectaFinish,superfectaPayout,superfectaPool,rlPlaceSeg1,rlLengthsSeg1,rlPlaceSeg2,rlLengthsSeg2,rlPlaceSeg3,rlLengthsSeg3,rlPlaceSeg4,rlLengthsSeg4,rlPlaceSeg5,rlLengthsSeg5,rlPlaceFin,rlLengthsFin,rlLengthsSeg6,rlPlaceSeg6,trainer,owner,daily doubleBuyin,daily doubleFinish,daily doublePayout,daily doublePool
0,SA,1,4,2019,6,One Mile,Dirt,Clear,Fast,3:07,Good for all,Start,1/4,1/2,3/4,Str,5,1,Dec,18,DMR,8,5,7,Nolo Contesto,"Rosario, Joel",122,L b 6,5,5,1,3,Head,2,3,1,Head,1,1/2,,,1.70,"4wd 1st turn,bid,game",23.66,47.55,1:12.32,1:24.64,,1:37.49,172,"385,680",5.40,3.00,2.60,2.60,2.20,3.40,$1.00,7-6,6.00,"200,952",$0.50,7-6-10,16.70,"136,723",$0.10,7-6-10-8,15.00,"104,075",5,,5,13/4,3,1,2,Head,1,Head,,,1/2,1,"Sadler, John",Hronis Racing LLC,$2.00,3-7,18.00,"47,761"
1,SA,1,4,2019,6,One Mile,Dirt,Clear,Fast,3:07,Good for all,Start,1/4,1/2,3/4,Str,5,18,Nov,18,DMR,7,2,6,Omaha Beach,"Prat, Flavien",122,L 5,3,2,1/2,2,1,1,Head,2,7,2,8,,,1.10,"stumbled start,gamely",23.66,47.55,1:12.32,1:24.64,,1:37.49,172,"385,680",5.40,3.00,2.60,2.60,2.20,3.40,$1.00,7-6,6.00,"200,952",$0.50,7-6-10,16.70,"136,723",$0.10,7-6-10-8,15.00,"104,075",3,,2,Head,2,Head,1,Head,2,Head,,,1/2,2,"Mandella, Richard","Fox Hill Farms, Inc.",$2.00,3-7,18.00,"47,761"
2,SA,1,4,2019,6,One Mile,Dirt,Clear,Fast,3:07,Good for all,Start,1/4,1/2,3/4,Str,5,16,Dec,18,LRC,2,2,10,Green Fleet,"Talamo, Joseph",122,L b 9,4,7,11/2,6,Head,5,1,3,21/2,3,41/4,,,8.70,"4wd,3wd,best rest",23.66,47.55,1:12.32,1:24.64,,1:37.49,172,"385,680",5.40,3.00,2.60,2.60,2.20,3.40,$1.00,7-6,6.00,"200,952",$0.50,7-6-10,16.70,"136,723",$0.10,7-6-10-8,15.00,"104,075",4,,7,31/4,6,21/4,5,4,3,7,,,81/2,3,"Baffert, Bob",Donegal Racing,$2.00,3-7,18.00,"47,761"
3,SA,1,4,2019,6,One Mile,Dirt,Clear,Fast,3:07,Good for all,Start,1/4,1/2,3/4,Str,5,24,Nov,18,DMR,2,5,8,Harmon,"Smith, Mike",122,- - 7,8,8,Head,8,21/2,7,1/2,5,1,4,11/2,,,23.20,"3wd into str,no bid",23.66,47.55,1:12.32,1:24.64,,1:37.49,172,"385,680",5.40,3.00,2.60,2.60,2.20,3.40,$1.00,7-6,6.00,"200,952",$0.50,7-6-10,16.70,"136,723",$0.10,7-6-10-8,15.00,"104,075",8,,8,43/4,8,41/2,7,7,5,93/4,,,123/4,4,"Gallagher, Patrick","Carroll, Mike, Cimpl, Don, Kelly, Jon, Kelly, Sarah and Wiltz, Jim",$2.00,3-7,18.00,"47,761"
4,SA,1,4,2019,6,One Mile,Dirt,Clear,Fast,3:07,Good for all,Start,1/4,1/2,3/4,Str,5,24,Nov,18,DMR,2,4,5,Royal Insider,"Baze, Tyler",122,L b 4,1,3,1,4,Head,6,2,6,1/2,5,2,,,66.20,"bid,stalked,wkened",23.66,47.55,1:12.32,1:24.64,,1:37.49,172,"385,680",5.40,3.00,2.60,2.60,2.20,3.40,$1.00,7-6,6.00,"200,952",$0.50,7-6-10,16.70,"136,723",$0.10,7-6-10-8,15.00,"104,075",1,,3,1/2,4,11/4,6,5,6,103/4,,,141/4,5,"Harty, Eoin","Godolphin, LLC",$2.00,3-7,18.00,"47,761"
5,SA,1,4,2019,6,One Mile,Dirt,Clear,Fast,3:07,Good for all,Start,1/4,1/2,3/4,Str,5,17,Nov,18,DMR,1,3,2,Railman,"Bejarano, Rafael",122,L b 1,6,4,Head,5,1,4,1/2,4,Head,6,1/2,,,8.40,"btwn into str,no bid",23.66,47.55,1:12.32,1:24.64,,1:37.49,172,"385,680",5.40,3.00,2.60,2.60,2.20,3.40,$1.00,7-6,6.00,"200,952",$0.50,7-6-10,16.70,"136,723",$0.10,7-6-10-8,15.00,"104,075",6,,4,11/2,5,11/4,4,31/2,4,91/2,,,161/4,6,"Eurton, Peter",C R K Stable LLC,$2.00,3-7,18.00,"47,761"
6,SA,1,4,2019,6,One Mile,Dirt,Clear,Fast,3:07,Good for all,Start,1/4,1/2,3/4,Str,5,1,Dec,18,DMR,8,8,11,American Camp,"Roman, Evin",122,L,10,7,2,9,Head,9,Head,9,2,8,7,7,,108.40,"chased, no response",23.66,47.55,1:12.32,1:24.64,,1:37.49,172,"385,680",5.40,3.00,2.60,2.60,2.20,3.40,$1.00,7-6,6.00,"200,952",$0.50,7-6-10,16.70,"136,723",$0.10,7-6-10-8,15.00,"104,075",7,,9,43/4,9,7,9,101/2,8,143/4,,,163/4,7,"Hess, Jr., Robert","Huarte, Judith, Lambert, Jeffrey, Sigband, Nadia M., Steeper, Jan and Woods, Gary",$2.00,3-7,18.00,"47,761"
7,SA,1,4,2019,6,One Mile,Dirt,Clear,Fast,3:07,Good for all,Start,1/4,1/2,3/4,Str,5,24,Nov,18,DMR,2,3,4,Asano,"Espinoza, Assael",117,L 3,2,1,Head,1,Head,3,1/2,7,31/2,8,3/4,,,19.50,"inside duel,gave way",23.66,47.55,1:12.32,1:24.64,,1:37.49,172,"385,680",5.40,3.00,2.60,2.60,2.20,3.40,$1.00,7-6,6.00,"200,952",$0.50,7-6-10,16.70,"136,723",$0.10,7-6-10-8,15.00,"104,075",2,,1,Head,1,Head,3,3,7,111/4,,,233/4,8,"Desormeaux, J.",Impact Thoroughbreds LLC and Madaket Stables LLC,$2.00,3-7,18.00,"47,761"
8,SA,1,4,2019,6,One Mile,Dirt,Clear,Fast,3:07,Good for all,Start,1/4,1/2,3/4,Str,5,,,,,,,9,Midnight Roamer,"Quinonez, Alonso",122,L 8,10,10,,10,,10,,10,,9,11,,,94.00,"off bit slow,inside",23.66,47.55,1:12.32,1:24.64,,1:37.49,172,"385,680",5.40,3.00,2.60,2.60,2.20,3.40,$1.00,7-6,6.00,"200,952",$0.50,7-6-10,16.70,"136,723",$0.10,7-6-10-8,15.00,"104,075",10,,10,63/4,10,7,10,103/4,10,163/4,,,241/2,9,"Hanson, Ryan",Christopher Drakos,$2.00,3-7,18.00,"47,761"
9,SA,1,4,2019,6,One Mile,Dirt,Clear,Fast,3:07,Good for all,Start,1/4,1/2,3/4,Str,5,,,,,,,3,Carribean Colours,"Gutierrez, Mario",122,L 2,9,6,1/2,7,2,8,3,9,Head,10,,,,53.10,"off bit slow,gave way",23.66,47.55,1:12.32,1:24.64,,1:37.49,172,"385,680",5.40,3.00,2.60,2.60,2.20,3.40,$1.00,7-6,6.00,"200,952",$0.50,7-6-10,16.70,"136,723",$0.10,7-6-10-8,15.00,"104,075",9,,6,23/4,7,21/2,8,71/2,9,163/4,,,351/2,10,"Callaghan, Simon",Reddam Racing LLC,$2.00,3-7,18.00,"47,761"
0,SA,1,4,2019,7,About Six And One Half Furlongs,Downhill turf,Clear,Firm,3:34,Good for all,Start,1/4,1/2,Str,,4,22,Nov,18,DMR,8,2,3,A Little Bit Me,"Prat, Flavien",124,L 3,7,5,Head,5,11/2,2,21/2,1,21/2,,,,,2.20,"3wd into str,bid,clear",21.35,43.46,1:06.52,,,1:12.58,131,"263,776",6.40,3.00,2.20,2.80,2.20,2.40,$1.00,3-7,8.00,"131,234",$0.50,3-7-6,10.50,"89,982",$0.10,3-7-6-5,46.39,"59,761",7,,5,31/4,5,31/4,2,Head,1,21/2,,,,,"Baltas, Richard",Chris Johnson,$2.00,7-3,17.20,"33,774"
1,SA,1,4,2019,7,About Six And One Half Furlongs,Downhill turf,Clear,Firm,3:34,Good for all,Start,1/4,1/2,Str,,4,9,Nov,18,DMR,7,6,7,Tonahutu (IRE),"Rosario, Joel",124,L 7,3,7,,6,1/2,4,1,2,1,,,,,1.60,"came out str,late 2nd",21.35,43.46,1:06.52,,,1:12.58,131,"263,776",6.40,3.00,2.20,2.80,2.20,2.40,$1.00,3-7,8.00,"131,234",$0.50,3-7-6,10.50,"89,982",$0.10,3-7-6-5,46.39,"59,761",3,,7,51/4,6,43/4,4,23/4,2,21/2,,,,,"Blacker, Dan","Jpf Investments I LLC, Alvernaz, Grant, Gold, Rick and Ribeiro, Steve",$2.00,7-3,17.20,"33,774"
2,SA,1,4,2019,7,About Six And One Half Furlongs,Downhill turf,Clear,Firm,3:34,Good for all,Start,1/4,1/2,Str,,4,3,Nov,18,SA,8,8,6,Travieza,"Bejarano, Rafael",122,L 6,1,2,11/2,2,2,1,Head,3,4,,,,,4.70,"dueled,led,lost 2nd",21.35,43.46,1:06.52,,,1:12.58,131,"263,776",6.40,3.00,2.20,2.80,2.20,2.40,$1.00,3-7,8.00,"131,234",$0.50,3-7-6,10.50,"89,982",$0.10,3-7-6-5,46.39,"59,761",1,,2,Head,2,Head,1,Head,3,31/2,,,,,"O'Neill, Doug","W.C. Racing Inc. and Lewis, Greg",$2.00,7-3,17.20,"33,774"
3,SA,1,4,2019,7,About Six And One Half Furlongs,Downhill turf,Clear,Firm,3:34,Good for all,Start,1/4,1/2,Str,,4,12,Aug,18,EMD,7,8,5,Grace Bay,"Gryder, Aaron",122,L 5,4,6,2,7,,5,Head,4,11/4,,,,,74.00,"steadied early,3wd str",21.35,43.46,1:06.52,,,1:12.58,131,"263,776",6.40,3.00,2.20,2.80,2.20,2.40,$1.00,3-7,8.00,"131,234",$0.50,3-7-6,10.50,"89,982",$0.10,3-7-6-5,46.39,"59,761",4,,6,31/4,7,51/4,5,33/4,4,71/2,,,,,"Lucarelli, Frank",Billy Speed Racing Stable,$2.00,7-3,17.20,"33,774"
4,SA,1,4,2019,7,About Six And One Half Furlongs,Downhill turf,Clear,Firm,3:34,Good for all,Start,1/4,1/2,Str,,4,24,Nov,18,DMR,1,7,1,Wicked Storm,"Baze, Tyler",122,L 1,6,4,11/2,4,1,6,1/2,5,21/4,,,,,36.00,saved ground to lane,21.35,43.46,1:06.52,,,1:12.58,131,"263,776",6.40,3.00,2.20,2.80,2.20,2.40,$1.00,3-7,8.00,"131,234",$0.50,3-7-6,10.50,"89,982",$0.10,3-7-6-5,46.39,"59,761",6,,4,13/4,4,21/4,6,33/4,5,83/4,,,,,"Yakteen, Tim",George Krikorian,$2.00,7-3,17.20,"33,774"
5,SA,1,4,2019,7,About Six And One Half Furlongs,Downhill turf,Clear,Firm,3:34,Good for all,Start,1/4,1/2,Str,,4,7,Oct,18,SA,10,10,2,Okinawa,"Figueroa, Heriberto",117,L 2,5,1,Head,1,Head,3,Head,6,1/2,,,,,3.70,"inside duel,weakened",21.35,43.46,1:06.52,,,1:12.58,131,"263,776",6.40,3.00,2.20,2.80,2.20,2.40,$1.00,3-7,8.00,"131,234",$0.50,3-7-6,10.50,"89,982",$0.10,3-7-6-5,46.39,"59,761",5,,1,Head,1,Head,3,21/2,6,11,,,,,"Baltas, Richard","Abbondanza Racing, LLC and McCauley, Tevis Q.",$2.00,7-3,17.20,"33,774"
6,SA,1,4,2019,7,About Six And One Half Furlongs,Downhill turf,Clear,Firm,3:34,Good for all,Start,1/4,1/2,Str,,4,24,Nov,18,DMR,9,1,4,Suspicious Spouse,"Van Dyke, Drayden",122,L b 4,2,3,Head,3,Head,7,,7,,,,,,12.90,"stalked pace, weakened",21.35,43.46,1:06.52,,,1:12.58,131,"263,776",6.40,3.00,2.20,2.80,2.20,2.40,$1.00,3-7,8.00,"131,234",$0.50,3-7-6,10.50,"89,982",$0.10,3-7-6-5,46.39,"59,761",2,,3,11/2,3,2,7,41/4,7,111/2,,,,,"Miller, Peter",Williamson Racing LLC,$2.00,7-3,17.20,"33,774"
0,SA,1,4,2019,8,Six Furlongs,Dirt,Clear,Fast,4:03,Good for all,Start,1/4,1/2,Str,,4,9,Dec,18,LRC,8,4,7,Clyde's Pride,"Rosario, Joel",124,L b 7,2,1,Head,1,1,1,3,1,21/2,,,,,1.50,"3wd to turn,drew clear",22.58,45.76,57.73,,,1:10.23,85,"249,287",5.00,3.00,2.60,5.80,3.40,3.20,$1.00,7-5,11.80,"138,972",$0.50,7-5-3,20.75,"104,446",$0.10,7-5-3-6,20.15,"67,166",2,,1,Head,1,1,1,3,1,21/2,,,,,"Hollendorfer, Jerry","Dunns Downs, LLC",$2.00,3-7,17.40,"32,666"
1,SA,1,4,2019,8,Six Furlongs,Dirt,Clear,Fast,4:03,Good for all,Start,1/4,1/2,Str,,4,9,Dec,18,LRC,8,2,5,Minoso,"Pedroza, Martin",124,L 5,3,5,1,6,2,2,1,2,21/2,,,,,8.10,"btwn into str,2nd best",22.58,45.76,57.73,,,1:10.23,85,"249,287",5.00,3.00,2.60,5.80,3.40,3.20,$1.00,7-5,11.80,"138,972",$0.50,7-5-3,20.75,"104,446",$0.10,7-5-3-6,20.15,"67,166",3,,5,13/4,6,31/4,2,3,2,21/2,,,,,"Palma, Hector",Rich Fontana,$2.00,3-7,17.40,"32,666"
2,SA,1,4,2019,8,Six Furlongs,Dirt,Clear,Fast,4:03,Good for all,Start,1/4,1/2,Str,,4,9,Dec,18,LRC,8,3,3,Leroy,"Baze, Tyler",124,L 3,5,6,1/2,7,4,7,4,3,11/4,,,,,5.80,"4wd into str,best rest",22.58,45.76,57.73,,,1:10.23,85,"249,287",5.00,3.00,2.60,5.80,3.40,3.20,$1.00,7-5,11.80,"138,972",$0.50,7-5-3,20.75,"104,446",$0.10,7-5-3-6,20.15,"67,166",5,,6,23/4,7,51/4,7,61/4,3,5,,,,,"Oviedo, Philip",Sandy Hanna,$2.00,3-7,17.40,"32,666"
3,SA,1,4,2019,8,Six Furlongs,Dirt,Clear,Fast,4:03,Good for all,Start,1/4,1/2,Str,,4,14,Oct,18,SA,2,1,6,Cyclometric,"Franco, Geovanni",124,L 6,7,7,4,5,Head,5,11/2,4,11/4,,,,,4.90,"4wd into str,no rally",22.58,45.76,57.73,,,1:10.23,85,"249,287",5.00,3.00,2.60,5.80,3.40,3.20,$1.00,7-5,11.80,"138,972",$0.50,7-5-3,20.75,"104,446",$0.10,7-5-3-6,20.15,"67,166",7,,7,31/4,5,3,5,41/2,4,61/4,,,,,"Headley, Karen",Matson Racing,$2.00,3-7,17.40,"32,666"
4,SA,1,4,2019,8,Six Furlongs,Dirt,Clear,Fast,4:03,Good for all,Start,1/4,1/2,Str,,4,18,Nov,18,DMR,5,6,4,Old Indian Trick,"Pereira, Tiago",122,L 4,1,2,Head,3,1,4,1/2,5,1/2,,,,,12.50,"btwn,inside,wkened",22.58,45.76,57.73,,,1:10.23,85,"249,287",5.00,3.00,2.60,5.80,3.40,3.20,$1.00,7-5,11.80,"138,972",$0.50,7-5-3,20.75,"104,446",$0.10,7-5-3-6,20.15,"67,166",1,,2,Head,3,1,4,4,5,71/2,,,,,"Carava, Jack",Paymaster Racing LLC and Sinister Racing Stable,$2.00,3-7,17.40,"32,666"
5,SA,1,4,2019,8,Six Furlongs,Dirt,Clear,Fast,4:03,Good for all,Start,1/4,1/2,Str,,4,27,Jul,17,DMR,4,1,8,Raul Rosas,"Talamo, Joseph",124,L b 8,6,4,1,2,Head,3,Head,6,11/2,,,,,3.90,"4wd,3wd,weakened",22.58,45.76,57.73,,,1:10.23,85,"249,287",5.00,3.00,2.60,5.80,3.40,3.20,$1.00,7-5,11.80,"138,972",$0.50,7-5-3,20.75,"104,446",$0.10,7-5-3-6,20.15,"67,166",6,,4,3/4,2,1,3,4,6,8,,,,,"Pederson, Dean","Harris Farms, Inc. and Antonsen, Per",$2.00,3-7,17.40,"32,666"
6,SA,1,4,2019,8,Six Furlongs,Dirt,Clear,Fast,4:03,Good for all,Start,1/4,1/2,Str,,4,24,Nov,18,DMR,8,3,2,Tanners Pride,"Gryder, Aaron",122,L b 2,4,3,1/2,4,1,6,Head,7,23/4,,,,,12.60,"inside trip,weakened",22.58,45.76,57.73,,,1:10.23,85,"249,287",5.00,3.00,2.60,5.80,3.40,3.20,$1.00,7-5,11.80,"138,972",$0.50,7-5-3,20.75,"104,446",$0.10,7-5-3-6,20.15,"67,166",4,,3,Head,4,2,6,6,7,91/2,,,,,"Koriner, Brian","Chu, Min Chin, Faurot, Rod, Lyons, Janet and Koriner, Brian",$2.00,3-7,17.40,"32,666"
7,SA,1,4,2019,8,Six Furlongs,Dirt,Clear,Fast,4:03,Good for all,Start,1/4,1/2,Str,,4,15,Nov,18,DMR,7,4,1,Plain Wrap,"Flores, Eswan",124,bf 1,8,8,,8,,8,,8,,,,,,72.30,"off bit slow,no rally",22.58,45.76,57.73,,,1:10.23,85,"249,287",5.00,3.00,2.60,5.80,3.40,3.20,$1.00,7-5,11.80,"138,972",$0.50,7-5-3,20.75,"104,446",$0.10,7-5-3-6,20.15,"67,166",8,,8,71/4,8,91/4,8,101/4,8,121/4,,,,,"Sierra, Javier","Sherry, Carolyn and Sierra Stables, Inc.",$2.00,3-7,17.40,"32,666"
0,SA,1,4,2019,9,About Six And One Half Furlongs,Downhill turf,Clear,Firm,4:34,Good for all,Start,1/4,1/2,Str,,4,6,Dec,18,LRC,5,4,8,Tiger Dad,"Espinoza, Assael",117,L b 8,1,1,1/2,1,1/2,1,21/2,1,21/4,,,,,7.90,"inside duel,cleared",21.90,44.67,1:07.58,,,1:13.70,131,"302,474",17.80,8.60,5.00,15.60,9.60,2.80,$1.00,8-10,112.50,"190,454",$0.50,8-10-9,158.35,"147,550",$0.10,8-10-9-7,443.04,"110,942",1,,1,1/2,1,1/2,1,21/2,1,21/4,,,,,"Gaines, Carla","Devereaux, Mark and Gross, Scott",$2.00,7-8,50.60,"91,257"
1,SA,1,4,2019,9,About Six And One Half Furlongs,Downhill turf,Clear,Firm,4:34,Good for all,Start,1/4,1/2,Str,,4,29,Nov,18,DMR,5,5,10,Brix,"Fuentes, Ruben",122,L b,10,3,1,3,1,3,6,3,11/4,2,,,,17.70,"angle in str,2nd best",21.90,44.67,1:07.58,,,1:13.70,131,"302,474",17.80,8.60,5.00,15.60,9.60,2.80,$1.00,8-10,112.50,"190,454",$0.50,8-10-9,158.35,"147,550",$0.10,8-10-9-7,443.04,"110,942",3,,3,11/2,3,2,3,3,2,21/4,,,,,"Baltas, Richard",Slam Dunk Racing,$2.00,7-8,50.60,"91,257"
2,SA,1,4,2019,9,About Six And One Half Furlongs,Downhill turf,Clear,Firm,4:34,Good for all,Start,1/4,1/2,Str,,4,29,Nov,18,DMR,5,2,9,Unusual Rider,"Van Dyke, Drayden",122,L b 9,2,2,1,2,11/2,2,1/2,3,6,,,,,0.90,"dueled,best rest",21.90,44.67,1:07.58,,,1:13.70,131,"302,474",17.80,8.60,5.00,15.60,9.60,2.80,$1.00,8-10,112.50,"190,454",$0.50,8-10-9,158.35,"147,550",$0.10,8-10-9-7,443.04,"110,942",2,,2,1/2,2,1/2,2,21/2,3,31/2,,,,,"Puype, Mike","Williams, Mr. and Mrs. Larry D.",$2.00,7-8,50.60,"91,257"
3,SA,1,4,2019,9,About Six And One Half Furlongs,Downhill turf,Clear,Firm,4:34,Good for all,Start,1/4,1/2,Str,,4,,,,,,,7,Go Like the Wind,"Quinonez, Alonso",122,L 7,10,10,,7,1,5,Head,4,Neck,,,,,26.00,"off bit slow,stdied3/8",21.90,44.67,1:07.58,,,1:13.70,131,"302,474",17.80,8.60,5.00,15.60,9.60,2.80,$1.00,8-10,112.50,"190,454",$0.50,8-10-9,158.35,"147,550",$0.10,8-10-9-7,443.04,"110,942",10,,10,91/2,7,9,5,91/2,4,91/2,,,,,"Lobo, Paulo","Jameson, Michael, Mitchell, Esther, Molle, Linda, Rauen, John, and Mitchell, Michelle",$2.00,7-8,50.60,"91,257"
4,SA,1,4,2019,9,About Six And One Half Furlongs,Downhill turf,Clear,Firm,4:34,Good for all,Start,1/4,1/2,Str,,4,,,,,,,2,Vezuchiy,"Rosario, Joel",122,L 2,9,9,1,6,11/2,4,1/2,5,31/2,,,,,8.70,"off bit slow,stdied3/8",21.90,44.67,1:07.58,,,1:13.70,131,"302,474",17.80,8.60,5.00,15.60,9.60,2.80,$1.00,8-10,112.50,"190,454",$0.50,8-10-9,158.35,"147,550",$0.10,8-10-9-7,443.04,"110,942",9,,9,81/2,6,71/2,4,9,5,93/4,,,,,"Blacker, Dan","Radley Equine, Inc., Aurelio, David, Gold, Rick, Weeks, Lynda and Weeks, Mike",$2.00,7-8,50.60,"91,257"
5,SA,1,4,2019,9,About Six And One Half Furlongs,Downhill turf,Clear,Firm,4:34,Good for all,Start,1/4,1/2,Str,,4,6,Dec,18,LRC,5,6,3,Bounty Hunter,"Pereira, Tiago",122,L b 3,6,4,11/2,4,31/2,6,11/2,6,33/4,,,,,33.30,"stalked inside,wkened",21.90,44.67,1:07.58,,,1:13.70,131,"302,474",17.80,8.60,5.00,15.60,9.60,2.80,$1.00,8-10,112.50,"190,454",$0.50,8-10-9,158.35,"147,550",$0.10,8-10-9-7,443.04,"110,942",6,,4,21/2,4,3,6,91/2,6,131/4,,,,,"Glatt, Mark","Kirkwood, Al and Saundra S.",$2.00,7-8,50.60,"91,257"
6,SA,1,4,2019,9,About Six And One Half Furlongs,Downhill turf,Clear,Firm,4:34,Good for all,Start,1/4,1/2,Str,,4,3,Nov,18,SA,11,9,5,Nice Haircut,"Gutierrez, Mario",122,L b 5,5,7,Head,9,,8,11/2,7,33/4,,,,,13.70,"stdied,forced out 3/8",21.90,44.67,1:07.58,,,1:13.70,131,"302,474",17.80,8.60,5.00,15.60,9.60,2.80,$1.00,8-10,112.50,"190,454",$0.50,8-10-9,158.35,"147,550",$0.10,8-10-9-7,443.04,"110,942",5,,7,71/2,9,10,8,131/2,7,17,,,,,"O'Neill, Doug",Reddam Racing LLC,$2.00,7-8,50.60,"91,257"
7,SA,1,4,2019,9,About Six And One Half Furlongs,Downhill turf,Clear,Firm,4:34,Good for all,Start,1/4,1/2,Str,,4,,,,,,,1,King Parker,"Franco, Geovanni",122,L 1,7,6,3,8,Head,9,,8,,,,,,91.80,"stdied,forced out 3/8",21.90,44.67,1:07.58,,,1:13.70,131,"302,474",17.80,8.60,5.00,15.60,9.60,2.80,$1.00,8-10,112.50,"190,454",$0.50,8-10-9,158.35,"147,550",$0.10,8-10-9-7,443.04,"110,942",7,,6,41/2,8,10,9,15,8,203/4,,,,,"Lewis, Craig","Anapenny Racing and Lewis, Craig A.",$2.00,7-8,50.60,"91,257"
8,SA,1,4,2019,9,About Six And One Half Furlongs,Downhill turf,Clear,Firm,4:34,Good for all,Start,1/4,1/2,Str,,4,29,Nov,18,DMR,5,3,6,Unusual Angel,"Blanc, Brice",122,L b 6,8,8,1,5,1,7,21/2,---,,,,,,6.00,"bad step,injured,van",21.90,44.67,1:07.58,,,1:13.70,131,"302,474",17.80,8.60,5.00,15.60,9.60,2.80,$1.00,8-10,112.50,"190,454",$0.50,8-10-9,158.35,"147,550",$0.10,8-10-9-7,443.04,"110,942",8,,8,71/2,5,61/2,7,11,---,,,,,,"Barba, Alexis","McWilliams, Teresa and Whalen, Roger",$2.00,7-8,50.60,"91,257"
9,SA,1,4,2019,9,About Six And One Half Furlongs,Downhill turf,Clear,Firm,4:34,Good for all,Start,1/4,1/2,Str,,4,9,Dec,18,GG,6,6,4,Tank Team,"Desormeaux, Kent",122,L 4,4,5,1/2,---,,---,,---,,,,,,8.60,"injured,lost jock,van",21.90,44.67,1:07.58,,,1:13.70,131,"302,474",17.80,8.60,5.00,15.60,9.60,2.80,$1.00,8-10,112.50,"190,454",$0.50,8-10-9,158.35,"147,550",$0.10,8-10-9-7,443.04,"110,942",4,,5,4,---,,---,,---,,,,,,"Desormeaux, J.",KMN Racing LLC,$2.00,7-8,50.60,"91,257"
